"time","x1","x2","min_growth_rate","max_growth_rate","expect_avg_growth_rate","tau","x3","model"
59.795,0.597845377411478,0.379565306524018,-0.27415670490232,0.023658146727427,0.00193788529507647,0.3,1.02673506668811,"hastings_powell_3sp_forced_cycle"
61.555,0.594321642921751,0.37666580616914,-0.301603958550445,0.0220791421509563,0.00357316202738804,0.3,1.0389450559973,"hastings_powell_3sp_forced_cycle"
63.315,0.596061123870807,0.371030656828773,-0.332394188968997,0.0234617668183087,0.00618008175092312,0.3,1.05032192997273,"hastings_powell_3sp_forced_cycle"
65.07,0.603052204813271,0.363279662419718,-0.364211975694773,0.0291670287645506,0.0093606917187825,0.3,1.06018665778834,"hastings_powell_3sp_forced_cycle"
66.83,0.614632770094352,0.354069727315695,-0.395444989427533,0.0353047465931729,0.0127388456982406,0.3,1.06806513086059,"hastings_powell_3sp_forced_cycle"
68.59,0.629519372197654,0.34408191978815,-0.424639671667068,0.0407388164196999,0.016018851676692,0.3,1.07354463178281,"hastings_powell_3sp_forced_cycle"
70.35,0.646202626745148,0.333850121964636,-0.45084026631563,0.0453568348794044,0.0190523889057487,0.3,1.07639240546434,"hastings_powell_3sp_forced_cycle"
72.105,0.663241109835139,0.323796416320752,-0.473379276768449,0.049240079855933,0.0217945980866537,0.3,1.07651206383283,"hastings_powell_3sp_forced_cycle"
73.865,0.679680984389588,0.314152347156616,-0.492033162723187,0.0525504438744125,0.0242875788653024,0.3,1.07391730002991,"hastings_powell_3sp_forced_cycle"
75.625,0.694803926288702,0.305178013887564,-0.506537293557267,0.05540896587751,0.0265724729353169,0.3,1.0687153880957,"hastings_powell_3sp_forced_cycle"
77.385,0.708243127479364,0.297079742206996,-0.51677297399788,0.0579170221229449,0.0286933454282522,0.3,1.06110810690895,"hastings_powell_3sp_forced_cycle"
79.14,0.719786736106669,0.290073356401491,-0.522634730134041,0.0601276338035172,0.0306669347650872,0.3,1.0514123732706,"hastings_powell_3sp_forced_cycle"
80.9,0.729408144848107,0.284310095392708,-0.524059629581037,0.0620654495647082,0.0324958563090672,0.3,1.03993700788953,"hastings_powell_3sp_forced_cycle"
82.66,0.737010801763907,0.279993471049309,-0.520921971386252,0.0636870159851294,0.0341303820570632,0.3,1.02714024588821,"hastings_powell_3sp_forced_cycle"
84.42,0.742538397356448,0.27729029012745,-0.513122286615015,0.0649055491994207,0.0354896975475471,0.3,1.01351050975274,"hastings_powell_3sp_forced_cycle"
86.175,0.745922843412859,0.27634730953287,-0.500627720053282,0.0655827098144221,0.0364549847589886,0.3,0.999614025327427,"hastings_powell_3sp_forced_cycle"
87.935,0.74711436113739,0.277281024272839,-0.483348598581439,0.0655354765950561,0.0368837698522469,0.3,0.985917233366602,"hastings_powell_3sp_forced_cycle"
89.695,0.746023628010518,0.280189190083682,-0.461396912445009,0.0645263316128754,0.0366023204110737,0.3,0.973008714365856,"hastings_powell_3sp_forced_cycle"
91.455,0.742568728186451,0.28512698987058,-0.435014264900781,0.0622793676370596,0.0354358779078241,0.3,0.961423003641043,"hastings_powell_3sp_forced_cycle"
93.21,0.736687789965515,0.292077431950166,-0.404754925882204,0.0585044567136198,0.0332429274160769,0.3,0.951689123584776,"hastings_powell_3sp_forced_cycle"
94.97,0.728275265207487,0.301017854688309,-0.37118788813957,0.0528836075870276,0.0299336414659104,0.3,0.9442099990719,"hastings_powell_3sp_forced_cycle"
96.73,0.717300544112481,0.31177449375379,-0.335462955043308,0.045265859684438,0.0255724853116156,0.3,0.939415787085696,"hastings_powell_3sp_forced_cycle"
98.49,0.703778299994857,0.324062004926889,-0.299013038717058,0.0370345028764367,0.0204286665405966,0.3,0.937629208351213,"hastings_powell_3sp_forced_cycle"
100.245,0.68787588575098,0.337389144672024,-0.263794211079938,0.0349266476974995,0.0150159456194486,0.3,0.939066814590806,"hastings_powell_3sp_forced_cycle"
102.005,0.669788605772363,0.351179510352532,-0.232019997753372,0.0345276854589516,0.00989147596833177,0.3,0.943839567292332,"hastings_powell_3sp_forced_cycle"
103.765,0.650094239712653,0.364524907383286,-0.206991390097367,0.0335847744690051,0.00546872345394986,0.3,0.951898863016858,"hastings_powell_3sp_forced_cycle"
105.525,0.629668502878332,0.376362289980929,-0.192825551052227,0.03184228894317,0.00183632951174508,0.3,0.963010996098843,"hastings_powell_3sp_forced_cycle"
107.28,0.6098554691658,0.385512422937065,-0.19371679391789,0.0293676309691123,-0.000958828061107608,0.3,0.976687619297243,"hastings_powell_3sp_forced_cycle"
109.04,0.592252585163255,0.390960554479296,-0.211041139162721,0.0264040623464869,-0.00262299322481529,0.3,0.99233720259918,"hastings_powell_3sp_forced_cycle"
110.8,0.578935963634865,0.39194591424417,-0.241605817843978,0.0233391465516135,-0.00261946919258728,0.3,1.00904661315413,"hastings_powell_3sp_forced_cycle"
112.56,0.571912665080486,0.38831340445746,-0.280348562111711,0.0207582190506883,-0.000645856940608177,0.3,1.02579401417164,"hastings_powell_3sp_forced_cycle"
114.315,0.57265694332326,0.380601870726879,-0.3228046339416,0.0210696734514388,0.0029821108750227,0.3,1.04147863063588,"hastings_powell_3sp_forced_cycle"
